Date,Where used,Song Title,Artist,Buy
2014,"iPhone 5c iSee5c.tumbler.com ""Play ball""",Baseball Organ Charge,(Please help identify!),
2014,"iPhone 5c iSee5c.tumbler.com ""Viva o Carnaval""",Batucada,IlÃƒÂ© AxÃƒÂ¨,
2010/12,"""Every"" iPhone 4 ad",Be Patient (Still),Smidi,iTunes
2004,U2 iTunes Event 2003/04 iTunes introduction video,Beautiful Day,U2,iTunes
2001,Apple iPod Intro,Beautiful Thing,Sister Hazel,iTunes
2000,"Apple iMac ""Sage"" commercial",Bein' Green,Kermit the Frog,iTunes
2015/06/08,WWDC intra-session 4:34pm,Believer,American Authors,iTunes
2014/06/02,WWDC Apple Design Awards 2014/06 WWDC intra-session,Best Day of My Life,American Authors,iTunes
2014/09/09,iPhone 6 design video 2:45 Ã¢Â€Â” NOT CORRECT SONG?,Better Run,Royal Bangs,iTunes
2010/06,WWDC intra-session,Better Together,Jack Johnson,iTunes
2004,MWSF Keynote,Beyond the Sea,Bobby Darin,iTunes
2014/06,WWDC intra-session,Big Blue Wave (The Slow Waves Remix),Hey Ocean!,iTunes
2015/05/20,Shot on an iPhone 6 by Antonie,The Birdwatcher,Vulfpeck,iTunes
2007,Macworld New York,Black Horse and the Cherry Tree,KT Tunstall,iTunes
2015/06,WWDC intra-session playlist 30,Black Tambourine,Beck,iTunes
2010/06,WWDC Intra-session 6/10/10 4:55 p.m.,Blow Away,A Fine Frenzy,iTunes
2013/04,"iPhone ""Photos Every Day"" commercial",Blue,Rob Simonsen,iTunes
2011/01,"AT&T & Verizon ""Waltz"" commercial",The Blue Danube,"Strauss, Richard",
2000,"Apple iMac ""Indigo"" commercial",Blue Suede Shoes,Elvis Presley,iTunes
2014/06,WWDC intra-session,Bohemian Like You,The Dandy Warhols,iTunes
2014/06,WWDC Stump pre-session,Born To Be Alive,Patrick Hernandez,iTunes
2000/07,Apple Pro Mouse (Optical) commercial,Born To Be Wild,Steppenwolf,iTunes
2015/06/08,WWDC Keynote 2:13,Born To Run,Bruce Springsteen,iTunes
2015/05/20,Shot on an iPhone 6 by Erica,Bother,Les Sins,
2010/06,WWDC intra-session,Bottle Rocket,The Go! Team,iTunes
2007,Macworld New York Keynote,Boulevard of Broken Dreams,Green Day,iTunes
2009/09,"iPod nano ""Capture Us"" (Nano Shoots Video) commercial",Bourgeois Shangri-La,Miss Li,iTunes
2001,"""iTunes + iMac 2"" commercial",Brandenburg Concerto No. 5 in D BWV 1050: I. Allegro,Johann Sebastian Bach,
2014/06/02,WWDC intra-session,Brave,Sara Bareilles,iTunes
2003/04,iTunes Music Event,Breathe,Faith Hill,iTunes
2005/09,Special Music Event/Cingular + iTunes Motorola ROKR commercial,Brinca,DJ Kane,iTunes
2010/06,WWDC intra-session,Brown Bike,Bostich+Fussible,
2008/09,"Apple iPod nano 4G nano-chromatic ""Paint"" commercial",Bruises,Chairlift,iTunes
2003/04,iTunes Music Event/iTMS Europe Launch,Building a Mystery,Sarah McLachlan,iTunes
2013/03,"iPhone 5 ""Discover"" and ""Brilliant"" commercials 2013/02 iPad (mini) ""Alive"" ""Together"" and ""Hollywood"" commercials",Bumblerock,Scarlet Newman-Thomas,
2009/06,WWDC intra-session 6/11/09 7:47pm,Burning Up,Alpinestars,iTunes
2015/06,WWDC intra-session playlist 18,Busy Earnin',Jungle,iTunes
2011/06,WWDC Intra-session,But It's Alright,J.J. Jackson,iTunes
2009,iPhone 3G S getting started video,Buzzin',Shwayze,iTunes
2005,Computer Setup Music Mac OS X 10.4 Tiger,Bytecry,Weevil,iTunes
2005,iTunes/Pepsi Bottle Songs (5),C'mon C'mon,The Von Bondies,iTunes
2010/06,WWDC intra-session,California English,Vampire Weekend,iTunes
2011/06,WWDC Intra-session,Can You Tell,Ra Ra Riot,iTunes
2015/06/08,Ã¯Â£Â¿ MUSIC Keynote Feature video,Can't Feel My Face (instrumental),The Weeknd,iTunes
2014/06,WWDC intra-session,Cape Cod Kwassa Kwassa,Vampire Weekend,iTunes
2015/06,WWDC intra-session playlist 1,Cardiac Arrest,Bad Suns,iTunes
2003/04,iTunes Music Event,Carmen \ Overture,Leontyne Price,iTunes
2014,"iPhone 5c iSee5c.tumbler.com ""Pting! Pting!""",Carnival Music,(Please help identify!),
2015/06/08,WWDC pre-keynote 9:54am,Centuries,Fall Out Boy,iTunes
2013,iTunes Festival,Chain My Name,POLIÃƒÂ‡A,iTunes
2014/08/11,"iPad ""Jason's Verse"" commercial",Chained,Marvin Gaye,iTunes
2014/09/09,"Ã¯Â£Â¿ WATCH ""Health & Fitness"" video 3:02",Change,Maipei,iTunes
2004,iTMS Europe Launch at Apple Expo London 2003/04 iTunes Music Event,Changes,David Bowie,iTunes
2004/06,"Apple iPod 4G ""Breakdance"" silhouette commercial",Channel Surfing,Feature Cast,
1984,Macintosh Intro,Chariots Of Fire,Vangelis,iTunes
2014/05/18,"iPhone 5s ""Strength"" commercial",Chicken Fat,Robert Preston,iTunes
2004,iTMS Europe Launch at Apple Expo London,Chim Chim Cher-ee,Julie Andrews & Dick Van Dyke,iTunes
2014/07/16,"MacBook Air ""Stickers"" commercial",Chimes,Hudson Mohawke,iTunes
2010/12,"Face Time ""Under the Covers"" commercial",The Christmas Song,Nat King Cole,iTunes
2015/03/09,Ã¯Â£Â¿ WATCH Cristy Turlington video,"""christy turlington burns""",(Please help identify!),
2015/06/11,WWDC Bash (band intro) 7:03pm,Circle of Life,Disney,iTunes
2009/06,WWDC intra-session,Circus,Britney Spears,iTunes
2008,MacBook promo video,City of Blinding Lights,U2,iTunes
2008,WWDC intra-session,Clocks,Coldplay,iTunes
2010/06,WWDC Intra-session 6/10/10 7:19pm,Closer to Love,Mat Kearney,iTunes
2009/06,WWDC intra-session 6/11/2009 6:18pm,Colorado,Fussible,
2015/06/08,WWDC pre-keynote 9:15am,Come Back To Me (Vicetone Remix),Urban Cone,iTunes
2004,MWSF Keynote,Come Go With Me,The Del-Vikings,iTunes
2010/09,"iPod touch 4G ""All Kinds of Fun"" commercial",Come Home,Chappo,iTunes
2005,MWSF Keynote,Come Rain Or Come Shine,Ray Charles,iTunes
2015/06,WWDC intra-session playlist 40,Comfort Eagle,CAKE,iTunes
2015/05/20,Shot on an iPhone 6 by Araby,Coming Home,Leon Bridges,iTunes
2014/09/09,iPhone event pre-keynote 2014/06 WWDC intra-session,Coming Of Age,Foster The People,iTunes
2010/06,WWDC intra-session 6/8/10 6:11pm,Compliments,Band of Horses,iTunes
2015/06,WWDC intra-session playlist 31,Computer Love,Kraftwerk,
2004,iTMS Europe Launch at Apple Expo London,"Concerto for Violin in E, RV 269 ""Spring"": I. Allegro","Academy of St. Martin in the Fields, Alan Loveday & Neville Marriner",iTunes
2004,iTMS Europe Launch at Apple Expo London,Concrete Jungle,Bob Marley & Rakim,iTunes
2014,"iPhone 5c iSee5c.tumbler.com ""Mosh pit""",Confusion,Shocked Minds,iTunes
2014/09/09,Special Event pre-keynote Ã¯Â£Â¿ WATCH design video 3:31,Cool Kids,Echosmith,iTunes
2014,"iPhone 5c iSee5c.tumbler.com ""Work it!""",Cops on a Bike,Paul Keogh,
2015/05/20,Shot on an iPhone 6 by Cielo,Costa Rica,Walter Martin,iTunes
2014/06/02,WWDC Keynote pre-session 2014/06 WWDC intra-session 2013/10 Apple Special Event intra-session,Counting Stars,OneRepublic,iTunes
2001,Apple iPod Intro,Crazy,Seal,iTunes
2011/06,WWDC Intra-session,Crossfire,Brandon Flowers,iTunes
2011/06,WWDC intra-session 6/7/11 10:02 a.m.,Crossroads,John Mayer,iTunes
2006/04,iPod nano 1000 songs iPod/iTunes commercial,Cubicle,RinÃƒÂ´ÃƒÂ§ÃƒÂ©rÃƒÂ´se,
2013,iTunes Festival,The Curse,Agnes Obel,iTunes
2014/04/21,"Environment feature video ""Better""",(custom instrumental),(Please help identify!),
2013/10/22,"""Making the all-new Mac Pro"" video",(custom instrumental),Plied Sound,
2007/06,"iPod + iTunes ""Mandolin"" commercial",Dance Tonight,Paul McCartney,iTunes
2009/06,WWDC intra-session 6/11/2009 6:28pm,Dandy Del Sur,Hiperboreal,
2003/04,iTunes Music Event,Danke Schoen,Wayne Newton,iTunes
2009/06,WWDC intra-session,DARE,Gorillaz,iTunes
2012/03/07,iPad (3rd generation) feature video,Darkmatter,Andrew Bird,iTunes
2004,U2 iTunes Event,Daughters,John Mayer,iTunes
2011/06,WWDC intra-session 6/7/11 10:08 a.m.,Day Tripper,The Beatles,iTunes
2011/06,WWDC intra-session 6/10/11,Daylight,Matt & Kim,iTunes
2010/06,WWDC intra-session,Death By Diamonds and Pearls,Band of Skulls,iTunes
2015/06,WWDC intra-session playlist 54,Deckchairs On The Moon,Bipolar Sunshine,
2009/06,WWDC intra-session 6/8/09 11:38 p.m.,Deep Blue Day,Brian Eno,iTunes
2011/06,WWDC intra-session 6/7/11 11:16 a.m. 6/8/11 3:14 p.m.,The Denial Twist,The White Stripes,iTunes
2010/06,WWDC Intra-session 6/9/10 2:28 p.m.,Destination Anywhere,The Commitments & Niamh Kavanagh,iTunes
2010/06,WWDC intra-session,Destination Unknown,Missing Persons,iTunes
2014/04,iPad Air Promo Bollywood Verse,Dhoom Taana,Shreya Ghoshal & Abhijeet,iTunes
2010/06,WWDC Intra-session 6/9/10 11:45-47am,Diplomat's Son,Vampire Weekend,iTunes
2012/09,iPhone 5 feature video (second song),Dirty Paws,Of Monsters And Men,iTunes
2011/06,"WWDC intra-session 6/7/11 8:58 p.m. 1998 Apple ""Burn Baby Burn"" commercial",Disco Inferno (Burn Baby Burn),The Trammps,iTunes
2015/06,WWDC intra-session playlist 12 2009/06 WWDC Bash,The Distance,CAKE,iTunes
2015/06,WWDC intra-session playlist 2,Do I Wanna Know?,Arctic Monkeys,iTunes
2011/06,WWDC Intra-session,Do the Panic,Phantom Planet,iTunes
2010/06,WWDC Intra-session 6/9/10 1:29am,Do What You Wanna,Ramsey Lewis,iTunes
2010/06,WWDC Bash 14,Do What You Want,OK Go,iTunes
2011/06,WWDC Intra-session 6/7/11 9:57 a.m. 6/8/11 10:03 a.m. 6/9/11 1:59 p.m. 3:00 p.m. 6/10/11 11:00 a.m. 2011/03 iPad 2 promo video,Dog Days Are Over,Florence + The Machine,iTunes
2013/09/10,1:15pm Apple Special Event first song on iTunes Radio,Doin' It Right (feat. Panda Bear),Daft Punk,iTunes
2004,MWSF Keynote,Domino,Van Morrison,iTunes
2009/06,WWDC intra-session 6/11/09 6:09pm,Don Loope,Nortec Collective,iTunes
2010/06,WWDC Bash 8,Don't Ask Me,OK Go,iTunes
2004,MWSF Keynote,Don't Be Cruel,Elvis Presley,iTunes
2004,U2 iTunes Event,Don't Know Why,Norah Jones,iTunes
2009/06,WWDC intra-session,Don't Stop Believin',Journey,iTunes
2005,MWSF Keynote,Don't Tell Me,Avril Lavigne,iTunes
2015/06/08,WWDC pre-keynote 9:35am,Don't Wanna Fight,Alabama Shakes,iTunes
2010/06,WWDC Intra-session 2010 iPhone 4 promo video,Done Did It (feat. Nicole Wray & NOE),Blakroc,
2011/06,WWDC intra-session 6/7/11 8:57 a.m.,Down on the Corner,Creedence Clearwater Revival,iTunes
2015/06/11,WWDC Bash 6:38pm,Down The Road,C2C,iTunes
2005,MWSF Keynote,Dream a Little Dream of Me,Louis Armstrong & The All Stars,iTunes
2015/06/08,WWDC pre-keynote 9:42am,Dreaming,Smallpools,iTunes
2003/04,iTunes Music Event,Dreams,The Cranberries,iTunes
2012/10,"13Ã¢Â€Â³ MacBook Pro with Retina Display ""Colors"" commercial",Dreams Today,Efterklang,iTunes
2012/08,"iPad ""All On iPad"" commercial 2012/06 iPad ""Do it All"" commercial",Driving,Stolen Jars,iTunes
2004,iTMS Europe Launch at Apple Expo London,Drown In My Own Tears,Ray Charles,iTunes
2014,"iPhone 5c iSee5c.tumbler.com ""Boom!""",Drum March,(Please help identify!),
2011/06,WWDC intra-session 6/6/11 3:06 p.m.,Dynamite,Taio Cruz,iTunes
2014,"iPhone 5c iSee5c.tumbler.com ""Make a wish""",The Eastern Gate,Matt Koskenmaki & David John Vanacore,iTunes
2011/06,WWDC intra-session 6/6/11 4:33 p.m.,Easy Love,MSTRKRFT,iTunes
2013/09,iTunes Festival 2013 video,The Edge Of Glory,Lady Gaga,iTunes
2014/06,WWDC intra-session,Electric Feel,MGMT,iTunes
2015/06,WWDC intra-session playlist 45,Elephant,Tame Impala,iTunes
2015/06/08,WWDC intra-session 2:42pm 2014/06 WWDC intra-session,Elevate,St. Lucia,iTunes
2010/06,WWDC Bash 11,End Love,OK Go,iTunes
2014/05,iPad Air Promo ChÃƒÂ©rie's Verse,England,The National,iTunes
2014/05,iPad Air Promo ChÃƒÂ©rie's Verse,England (Instrumental),The National,iTunes
2003,Computer Setup Music Mac OS X 10.3 Panther,Eple (Original Edit),RÃƒÂ¶yksopp,iTunes
2014/06,WWDC intra-session,Everlasting Light,The Black Keys,iTunes
2011/06,WWDC Intra-session,Every Teardrop Is a Waterfall,Coldplay,iTunes
2011/06,WWDC intra-session 6/6/11 2:01 p.m.,Everybody,V.V. Brown,iTunes
2015/06,WWDC intra-session playlist 19 2012/06 WWDC Bash,Everybody Talks,Neon Trees,iTunes
2014/06,WWDC intra-session,Everyday,Dave Matthews Band,iTunes
2007,MWSF Keynote,Everyday Is a Winding Road,Sheryl Crow,iTunes
2014/06,WWDC intra-session,Everyone Deserves Music,Michael Franti,iTunes
2015/06,WWDC intra-session playlist 20,Everyone Deserves Music,Michael Franti & Spearhead,
2003/04,iTunes Music Event,Everything is Broken (Alternate Mix),Bob Dylan,iTunes
2010/06,WWDC intra-session,Excellent Birds,Laurie Anderson,iTunes
2012/06,WWDC intra-session 6/15/2012 8:54 a.m.,Exodus,Bob Marley,iTunes
2007,Computer Setup Music Mac OS X 10.5 Leopard & 10.6 Snow Leopard Aluminium iMac,Exodus Honey,Honeycut,iTunes
2011/03,iPad 2 Smart Cover video,Extraordinary Machine,Fiona Apple,iTunes
2012/01,"""The textbook. Reinvented for iPad"" promo video",Fake Empire,The National,iTunes
2013/01,"""Dream"" 2012/11: ""Turkey"" ""Orchestra"" 2012/09 iPhone 5 ""Thumb"" ""Cheese"" ""Physics"" ""Ears"" commercials",Falcon Hero,Rob Simonsen,
2003/04,iTunes Music Event,Fallen,Sarah McLachlan,iTunes
2004,iTMS Europe Launch at Apple Expo London,Fallin',Alicia Keys,iTunes
2015/06,WWDC intra-session playlist 3,Falling,HAIM,iTunes
2015/06/11,"WWDC Bash 8:18pm 2005/06 Apple iPod ""Rollerskating"" silhouette commercial",Feel Good Inc. (Album Crossfade),Gorillaz,iTunes
2015/06/11,WWDC Bash 6:27pm,Feel It All Around,Washed Out,iTunes
2010/06,WWDC intra-session,Fences,Phoenix,iTunes
2015/06/11,WWDC Bash 6:23pm,Figure It Out,Royal Blood,iTunes
2005,iTunes/Pepsi Super Bowl commercial,Finally Woken,Jem,iTunes
2015/06,WWDC intra-session playlist 4,Find You (Feat. Matthew Koma & Miriam Bryant),Zedd,iTunes
2001,"iBook G3 ""Snow"" introduction video",Fisherman`s Blues,The Waterboys,iTunes
1999,"Apple iBook ""Possibility of Love"" commercial",Flamenco Sketches,Miles Davis,iTunes
2007/01,"iPod+iTunes Macworld ""Party"" commercial",Flathead,The Fratellis,iTunes
2003,Panther introduction video,The Force of Gravity (BT's Edit),BT,iTunes
2000/02,iMac iMovie commercial,Forever Young,Bob Dylan,iTunes
2003/04,iTunes Music Event,Fox Trot: Mack The Knife,Arthur Murray Orchestra,iTunes
2003/04,iTunes Music Event,Franklin's Tower,Grateful Dead,iTunes
2011/06,WWDC Intra-session,Freak Out / Starry Eyes,LCD Soundsystem,iTunes
2015/06/08,Ã¯Â£Â¿ MUSIC beats one ad,Freedom,Pharrell Williams,
2003,"PowerBook G4 commercial ""Cosmos""",French Letter,J-Walk,iTunes
2003,Macworld San Francisco Keynote 2004 MWSF Keynote,Friday I'm in Love,The Cure,iTunes
2014/09/09,iPhone 6/6 Plus intro video 2:45,From Nowhere,Dan Croll,iTunes
2011/06,WWDC intra-session 6/7/11 8:52 a.m. 6/8/11 10:12 a.m. 6/9/11 3:07 p.m.,From the Clouds,Jack Johnson,iTunes
2011/06,WWDC Stump pre-session WWDC intra-session 6/7/11 9:01 a.m. 2:52 p.m. 6/8/11 11:01 a.m. 6/9/11 3:12 p.m.,Funky Drummer,James Brown,iTunes
2010/06,WWDC intra-session,Funnel of Love,Wanda Jackson,iTunes
2009/06,WWDC Keynote pre-show,Funny the Way It Is,Dave Matthews Band,iTunes
2014/06,WWDC intra-session 2011/06 WWDC intra-session 6/6/11 4:26 p.m.,Gamma Ray,Beck,iTunes
2015/06/15,Shot on an iPhone 6 by Herbert S.,Gene Takes a Drink,Bang on a Can,iTunes
2011/06,OS X Lion promo video,Get Closer,Life In Film,iTunes
2013/06/11,WWDC intra-session 12:56pm,Get Lucky (feat. Pharrell Williams),Daft Punk,iTunes
2010/06,WWDC Bash 9,Get Over It,OK Go,iTunes
2011/06,iOS 5 promo video,Get Some,Lykke Li,iTunes
2014/06,WWDC Stump pre-session,Get The Funk Out Ma Face,The Brothers Johnson,iTunes
2003/04,"Apple Music ""Tyra"" commercial",Get the Party Started,P!nk,iTunes
2015/06,WWDC intra-session playlist 41,Ghettochip Malfunction,Beck,iTunes
2011/06,WWDC Intra-session 6/7/11 2:58 p.m. 6/8/11 8:54 a.m. 2010/06 WWDC Intra-session 6/9/10 4:59pm,The Ghost Inside,Broken Bells,iTunes
2011/06,WWDC intra-session 6/6/11 1:57 p.m. 2009/06 WWDC intra-session 6/7/09 7:54 p.m.,Ghosts In My Machine,Annie Lennox,iTunes
2014/04/22,"iPhone 5s ""Powerful"" commercial",Gigantic,The Pixies,iTunes
2013/06/10,WWDC Keynote 1:49:27,Gimme Shelter,Rolling Stones,iTunes
2005/09,iPod nano commercial,Gimme That,The Resource featuring Jimmy Napes,iTunes
2015/06/11,WWDC Bash 6:30pm,Give It away,The Red Hot Chili Peppers,iTunes
2014/06,WWDC intra-session 2013/06/10 WWDC intra-session 2:01pm,Give Life Back to Music,Daft Punk,iTunes
2010/06,WWDC intra-session,Giving Up The Gun,Vampire Weekend,iTunes
2015/06/08,WWDC Keynote 2:15,"Glory (From the Motion Picture ""Selma"")",Common & John Legend,iTunes
2010/06,WWDC Intra-session 6/9/10 3:44 p.m.,"""The Godfather"" - Main Title Theme",AndrÃƒÂ© Rieu,iTunes
2001/05,Apple Powerbook G4 Titanium Intro 2001 Macworld Tokyo,Godspeed,BT,iTunes
2015/03/09,MacBook reveal video,Gold,Chet Faker,iTunes
2005,Special Music Event,Gold Digger,Kanye West feat. Jamie Foxx,iTunes
2011/06,"WWDC intra-session 6/7/11 3:02 p.m. 2010/06 WWDC intra-session 6/9/10 11:51 a.m. 6/9/10 4:14 p.m. 6/11/10 2:21pm 2010/05 iPad ""What is iPad?"" commercial",Gold Lion,Yeah Yeah Yeahs,iTunes
2015/06,WWDC intra-session playlist 21,Gold On The Ceiling,The Black Keys,iTunes
2015/03/09,Ã¯Â£Â¿ WATCH gold video,"""gold""",(Please help identify!),
2010/06,WWDC Intra-session 6/10/10 1:07 p.m.,Gone Gone Gone (Done Moved On),"Alison Krauss, Robert Plant",iTunes
2015/06,WWDC intra-session playlist 53,Goodness Gracious,Ellie Goulding,iTunes
2007,Mac OS X Leopard videos,Goodnight and Go,Imogen Heap,iTunes
2007,MWSF Keynote,Gravity,John Mayer,iTunes
1989,CBS RECORDS,Great Balls of Fire,Jerry Lee Lewis,iTunes
2013/08,"iPhone 5 ""FaceTime Every Day"" commercial",Green,Rob Simonsen,iTunes
2014/01,"Mac video ""30 Years""",H,Air Review,iTunes
2010/02,iPad introduction video,Hallelujah,The Helio Sequence,iTunes
2010/06,WWDC intra-session,Happy Up Here,RÃƒÂ¶yksopp,iTunes
2011/06,WWDC intra-session 6/7/11 3:04 p.m. 6/8/11 12:35 p.m. 6/9/11 8:52 a.m.,A Hard Day's Night,The Beatles,iTunes
2003/04,iTunes Music Event,A Hard Rain's A-Gonna Fall,Bob Dylan,iTunes
2011/03,iPad: Year One,Harmonium,Rogue Wave,iTunes
2013/12,"iPhone 5s ""Misunderstood"" commercial/ A Harris family holiday full video",Have Yourself A Merry Little Christmas,Cat Power,iTunes
2006/05,Get a Mac commercials (through 2010),Having Trouble Sneezing,Mark Mothersbaugh,
2011/06,WWDC Intra-session 2010/06 WWDC Intra-session,Heard It On the Radio,The Bird and the Bee,iTunes
2012/10,"iPad mini ""Piano"" commercial",Heart & Soul,(Please help identify!),
2010/06,WWDC intra-session,Heart of Gold,Neil Young,iTunes
2015/06,WWDC intra-session playlist 26,Heartbeat,Mat Kearney,iTunes
2009/06,WWDC intra-session 6/12/09 3:29pm,Heaven,Los Lonely Boys,iTunes
2003/04,iTunes introduction video,The Hell Song,Sum 41,iTunes
2015/06,WWDC intra-session playlist 35,Hello Bonjour,Michael Franti & Spearhead,iTunes
2010/11,"The Beatles on iTunes ""Studio - Here Comes the Sun"" commercial",Here Comes The Sun,The Beatles,iTunes
2014/06,WWDC intra-session,Here For You (ft. Laura Welsh),Gorgon City,iTunes
2010/06,WWDC Bash 6,Here It Goes Again,OK Go,iTunes
2004,iTMS Europe Launch at Apple Expo London,Hey Joe,The Jimi Hendrix Experience,iTunes
2003/11,"Apple iPod ""Hip Hop"" silhouette commercial",Hey Mama,The Black Eyed Peas,iTunes
2014/06,WWDC intra-session,High And Dry,Radiohead,iTunes
2011/06,WWDC Intra-session 6/7/11 3:07 p.m. 6/8/11 8:49 a.m. 2010/06 WWDC Intra-session 6/9/10 11:55 a.m.,The High Road,Broken Bells,iTunes
2011/06,WWDC Intra-session,"Hold On, I'm Coming",Sam & Dave,iTunes
2015/06/08,WWDC intra-session 12:25pm,"Hold On, We're Going Home (feat. Majid Jordan)",Drake,iTunes
2015/06/11,WWDC Bash 6:36pm,Holding On To You,Twenty One Pilots,iTunes
2011/06,WWDC intra-session 6/7/11 3:12 p.m. 6/8/11 11:18 a.m. 6/9/11 8:58 a.m. 11:04 a.m.,Holes To Heaven,Jack Johnson,iTunes
2015/06,WWDC intra-session playlist 22 2011/06 WWDC intra-session 6/6/11 4:30 p.m.,Holiday,Vampire Weekend,iTunes
2012/09,Design Review (53:45 into keynote) iPhone 5 feature video (third song),Home,Edward Sharpe & The Magnetic Zeros,iTunes
2010/06,WWDC intra-session,Home,Edward Sharpe and the Magnetic Zeros,iTunes
2015/06/08,WWDC Keynote 2:08,Homenaje Al Benny (Castellano Que Bueno Baila Usted),Gente De Zona,iTunes
2010/06,WWDC intra-session 6/8/10 11:46am,HoppÃƒÂ­polla,Sigur RÃƒÂ³s,iTunes
2012/10,Apple Special Event pre-show,Houdini,Foster The People,iTunes
2003/04,iTunes Music Event,Hound Dog,Elvis,iTunes
2001,"""iTunes + iMac 4"" commercial",How Soon Is Now?,Snake River Conspiracy,
